,composition,Tc
13750,Gd0.65Ca0.2Hf0.15Ba2Cu3O6.96,86.3
13751,Ru1Sr2Gd0.98Ce0.02Cu2O8,13.0
13752,Sr2V0.9Mg0.1Fe1As1O3,30.0
13754,Au0.18Te0.82,1.56
13755,La1Ba1.5Sr0.5Cu3O6.902,54.0
13756,Ba1Fe1.925Ni0.075As2,12.95
13758,V0.63Si0.14Al0.23,9.7
13759,La0.99Lu0.01,5.595
13762,Ca0.9Nd0.1Ba1La1Cu3O6.87,73.8
13765,La0.85Ca0.05Pr0.1Ba1.5Sr0.5Cu3O6.865,50.0
13766,Rh0.06Ti0.94,2.6
13767,Ta0.2Mo0.8C1,10.5
13768,Bi2Sr2Nd1.64Ce0.36Cu2O10.23,14.0
13771,Bi2Ir1,2.715
13772,Li0.18Zr1N1Cl1,11.6
13774,Y1La0.2Ba1.8Cu3O7.06,48.9
13775,Ni2Nb1Al1,1.075
13777,Y1Ba1.88La0.12Cu3O6.96,93.2
13779,N0.8H2.4Na1Rb2C60,15.2
13780,La1.9Sr0.1Cu0.975Ni0.025O4,3.65
13782,Zr0.9Mo0.1,4.3
13784,Y2La0.8Ba3.2Cu6O14.2,46.0
13790,Tb1Ni0.74Bi1.9,4.2
13791,Ce0.25La0.75Ru2,1.42
13793,Ga1V3,13.495999999999999
13794,YbCa0.4Ba1.6Sr0.4Cu4O8,85.0
13795,Yb1Mo6S8,8.45
13796,La1.76Sr0.24Cu0.97Ru0.03O4,16.1
13797,Ca9.5Yb0.5Pt3Fe10As18,11.6
13798,Sm1Ba2Cu3O6.99,90.7
13799,Ir0.8Y0.2,3.66
13800,Hg0.92Ba2.05Cu1.03O4.058,92.1
13801,Ti50V50,6.15
13802,Pt1V2.5,1.36
13803,Ho0.99Ca0.01Ba2Cu4O8,76.8
13804,Y1Ba2Cu2.844Fe0.156O7,57.0
13805,Tl0.5Pb0.5Sr2Ca1Cu2.95Co0.05O7,53.0
13806,Hg1Ba2Cu1O4.02,72.0
13808,Pb0.9875Tl0.0125Te1,1.35
13809,Bi2Sr1.8Ca1Gd0.2Cu2O8.26,88.9
13810,Ce1Rh0.5Co0.5In5,1.4
13811,Y0.3Lu0.7Ni2B2C1,15.0
13812,Ba0.88K0.12Ti2Sb2O1,6.1
13814,Gd4Fe2As2Te0.92F0.8O3.2,45.0
13815,Y1.4Th0.6C2.4,15.4
13816,Ru0.45V0.55,4.0
13817,Al2Gd0.002La0.998,2.45
13818,Y1Ba2Cu2.95Zn0.05O6.7,25.0
13820,Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6.3,34.0
13821,Pd0.03Ir0.97Te2,2.7
13823,Ir0.58Rh0.36Se2,9.6
13824,La1.9Ba0.1Cu0.99Zn0.01O4,9.8
13825,Mg0.88Sc0.12B2,30.0
13828,Tm0.8Lu0.2Fe3Si5,2.79
13829,Nb2.25V0.75Au1,3.0
13832,Ce0.147Ru0.853,3.6
13833,Lu1S1,1.1
13835,Er0.775Tb0.225Ni2B2C1,5.9
13836,La1.79Sr0.21Cu0.94Co0.06O4,31.8
13838,V0.5Sr2.25Ca1.75Cu3.5O9.7,98.0
13839,Nb0.14Ta0.86,4.76
13840,V0.65Si0.1Al0.25,9.9
13841,Tl0.4K0.3Fe2Se2,26.25
13842,Nd1.8315Y0.0185Ce0.15Cu1O4,20.0
13843,Bi2Sr2Ca0.6Gd0.4Cu2O8,30.0
13844,Bi2Sr1.43La0.57Cu1O6,28.5
13845,C14H10Ba1.5,5.4
13846,La0.85Na0.15Fe1As1F0.15O0.85,28.0
13848,Zr2Co0.9Ga0.1,5.72
13849,Tl2Ba2Ca5Cu6O16,120.0
13850,Y0.9Gd0.1Ni2B2C1,12.0
13852,Ir0.96Pt0.04Te2,2.9725
13854,La1.888Sr0.112Cu1O4,27.0
13855,C60Yb3.5,6.0
13857,Y0.5Pr0.5Ba2Cu3O6.68,27.1
13858,Lu4Sc1Ir4Si10,6.59
13859,K0.8Bi1.2O3,9.45
13860,Y0.98Ca0.02Ba2Cu4O8,87.0
13861,Nb78Ga20Mn2,8.87
13865,Ca8.38Ce1.62Pt3Fe10As18,30.5
13866,Y1Ba2Cu2.9Ga0.1O6.8,81.0
13868,In0.83Te1,1.15
13869,Bi2Sr1.6Ca1.2Lu0.2Cu2O8.26,88.6
13870,Nb2.55V0.45Sn1,15.0
13871,Nb0.5Sb0.25Ti0.25,3.05
13872,Zr62.4Ti15.6Ni22,3.215
13874,Pd20Zr80,2.91
13875,Bi2S2F0.5O0.5,5.0
13876,Mo6Se7.7Te0.3,6.66
13878,Nb0.98Y0.02,9.26
13879,Bi2Sr2Ca1Cu2I0.61O8.21,56.3
13881,Na0.18Hf1N1Cl1,22.0
13882,Pd2Y0.9Dy0.1Sn1,3.46
13883,Nb0.66Zr0.33,10.8
13884,Nb3Os0.02Rh0.98,2.42
13885,Y1Sr2Cu2.8W0.2O7.2,66.0
13887,Sm1Fe1As1F0.13O0.87,24.7
13888,Y1La1.2Ba3.8Cu6O14.07,70.4
13890,Y0.93Ca0.07Ba2Cu4O8,86.25
13892,Nd0.8Pr0.2Ba2Cu3O6.81,50.0
13893,Bi1.7Pb0.3Sr2Ca0.96Y0.04Cu2O8.06,78.5
13895,Ir0.265O0.085Zr0.65,2.3
13896,La2.9234Ce0.0766In1,4.02
13897,Nb3Zr0.5In0.5,6.4
13901,Sn0.96Eu0.2Mo6.35S8,10.7
13902,La0.9Th0.1Ni1C2,4.45
13903,Nb0.35Ti0.65N0.97,13.2
13904,Ba0.595K0.405Bi1O3,31.2
13905,Ta0.92W0.08,2.85
13906,Mg1.8Cu0.2B12,36.5
13908,Ir0.95Pd0.05Te2,2.5
13909,Ge1.8La1,1.87
13910,Ca2Cu1Cl2.3O2,36.0
13911,La75Au15Cu10,3.795
13912,Si1V3,16.70833333
13914,Pr2Ba4Cu7O14.74,15.5
13915,Nd1Fe1As0.6P0.4F0.1O0.9,28.0
13916,Sb0.02V0.98,3.29
13917,Bi2Sr2Ca1Cu1.99Fe0.01O8,74.1
13918,Sr1.5Ba0.5Y1Cu2.8Mo0.2O7.03,26.0
13919,Bi1Pd2,4.2
13921,Cu0.01Fe0.99Se0.85,8.6
13922,Nb3Sn0.9Ge0.1,18.0
13923,Na2Cs0.88C60,8.3
13924,Ir1Mo3,8.031
13925,Sr1Pt2.4Pd0.6P1,6.57
13926,U1Rh2Ge2,1.1
13927,Nb2.775Mo0.225Al1,13.8
13929,Li2Pd3B0.95Al0.05,7.75
13932,La1Fe1As1O1.0,10.2
13933,In0.1Tl0.9,3.12
13934,Ca0.891La0.109Fe2As2,45.4
13936,La1.77Sr0.23Cu0.94Ni0.06O4,31.5
13937,Nb77Sn13.8Al6.9Ge2.3,13.3
13940,Y0.9Ca0.1Ba2Cu3O6.72,82.6
13941,Zr1P1.25Se0.75,6.3
13942,Tm1Ir2Rh2B4,4.38
13943,Ho1Ni1.995Co0.01B2C1,6.72
13944,Bi1In2,5.584
13945,Au0.85Pd0.15Ga2,1.79
13947,La0.25Th0.75Sn3,3.94
13948,Th1Rh2Ge2,1.1
13949,Lu0.6Dy0.4Ni2B2C1,7.5
13950,La0.96Sr0.04Fe1As1O1,3.65
13951,La1Pt1.8Ge2.2,1.95
13952,Y0.6Ca0.2Pr0.2Ba2Cu3O7,67.1
13953,Mg0.9Zn0.05Al0.05B2,38.5
13954,Bi4Sr3Ca1.5Y1.5Cu4O16,86.1
13958,Y1Ba2Cu2.98Fe0.02O7,90.7
13960,Gd1Sr2Ru0.9Cu2.1O8,37.75
13962,Zr0.985Lu0.015B12,5.67
13963,V2.88Ce0.12Si1,15.32
13964,La1.887Sr0.113Cu1O4,29.7
13965,Ba1Fe1.848Rh0.152As2,22.2
13966,Nb0.016Ta0.984,4.47
13969,Bi2Rh1,1.1
13971,Sm1Fe1As0.55P0.45H0.08O0.92,19.0
13972,Sc4Rh6Ge19,1.9
13973,Li0.8Fe1.2Se0.59S0.41H1O1,32.0
13974,Mg0.93Na0.07B2,38.0
13979,Tc0.1V0.9,1.5
13980,Sr1Pt4Ge12,5.25
13981,Fe0.3Ni0.7Zr2,2.02
13984,Pb0.8Sr1Ba1.2Y0.7Ca0.3Cu3O8.28,74.0
13985,Y1Ni1.9Co0.1B2C1,9.65
13986,Dy0.75Tb0.25Ni2B2C1,3.24
13987,La1Fe0.85Ru0.15As1F0.11O0.89,23.6
13988,Mg1.4Al0.6Si1,6.0
13990,La1.74Nd0.125Sr0.135Cu1O4,21.0
13991,Y1.8Ti0.2C3.1,14.5
13992,Lu1Ir3.6Rh0.4B4,2.67
13993,Y1Ba1.8Sr0.2Cu4O7.9,78.0
13997,La1.875Ca0.125Cu1O4,23.85
13999,Nb0.28Bi2Se3,3.35
14000,Eu0.6Pr0.4Ba2Cu3O6.97,15.0
14001,Y1Os3B2,6.0
14002,Y1Ba1Sr1Cu2.975Sn0.025O6.91,76.3
14005,La1Zn1,1.04
14006,Th1Ir0.2Os1.8,2.93
14007,La0.98Gd0.02Ru2,3.23
14008,Dy1Ba1Sr1Cu3O6.94,81.5
14011,Ni33Zr67,2.6
14012,Nb0.83Sb0.17,1.95
14013,Mg0.93Al0.07B2,35.8
14014,La1.9Ca0.1Cu1O4,20.5
14017,Fe2As2Ca5Sc2Ti2O10.5,33.0
14019,Na1Al1Si1,7.2
14020,Y2Ba4Cu7O14.16,34.0
14021,Rb0.8Fe1.6Se2,32.4
14022,Lu5Ir4Si10,3.82
14023,Er0.924Pr0.076Ba2Cu3O7,91.1
14024,Al0.5Ga0.5V3,12.9
14025,La0.7Th0.3,4.88
14026,Mo0.84V0.16C1,12.9
14027,Ti2In1C1,3.1
14028,Au0.1Sb0.9,7.5
14029,K0.74Fe1.67Se1.61S0.4,32.0
14031,Ba0.68K0.32Fe2As2,37.75
14032,Y0.76Ca0.24Ba2Cu2.76Co0.24O6.84,85.0
14034,Nb0.8Ga0.14Cr0.06,8.6
14035,Y1Th3.4Ru0.6B4,9.4
14036,Ba0.5K0.5Bi1O3,19.66428571
14038,Pd1Sb1Te1,1.2
14040,Th0.5Y0.5,1.25
14041,Cu0.4Zn0.6Ir2S4,1.73
14042,Ta0.91W0.09,2.78
14043,Y0.95Ca0.05Ba2Cu2.85Co0.15O6.82,83.0
14044,La1.822Sr0.178Cu1O4,36.0
14045,Pd0.11Ti1Se2,1.82
14047,Pb0.5Cu0.5Sr0.8La1.2Cu1O5.1,34.9
14048,Sc1Rh2Sn1,2.0
14049,Ni21Zr79,3.06
14050,Al0.5Ga0.5Nb3,19.0
14051,Y1Ba1.8Sr0.2Cu4O7.95,82.0
14052,Nd0.8Sm0.2F0.3Bi1S2O0.5,5.2
14054,Ca10Pt3.617Fe9.383As18,13.6
14056,Au0.125Sb0.75Te0.125,6.7
14058,Rh0.1Zr0.9,9.9
14060,Y0.8Pr0.2Ba2Cu3.925Fe0.075O8,10.0
14061,Bi1.6Pb0.4Sr4Cu2C1O11,41.0
14062,C0.93Nb1,6.5
14064,La1.1Ba1.5Ca0.4Cu3O7.25,35.0
14065,Y0.85Pr0.15Ni2B2C1,12.0
14067,Er0.8Lu0.2Ni2B2C1,10.8
14069,Nb5Si2.4B0.6,7.8
14070,Hg1Pb2,5.8
14071,Ba0.823K0.177Fe2As2,10.0
14072,Nb4Ni1Si1,7.7
14073,La1.71Sr0.29Cu0.94Ni0.06O4,30.4
14074,In0.966Mg0.034,3.61
14075,Cd1Mo5S6,2.923333333
14076,Tl2Ba2Cu1O6.08,16.0
14077,Lu0.5Th0.5Os3B2,4.14
14078,Fe1Te0.7Se0.3,12.9
14079,La1.95Bi0.05Cu0.99Zn0.01O4.093,22.7
14080,Sr2Cu1C0.86B0.14O5,31.0
14081,Ru1Sr2Gd1.4Ce0.6Cu2O9.54,34.0
14082,Ge0.3Sb0.7,3.3
14084,Ce0.9La0.1Co1In5,1.22
14085,Ta0.2Zr0.8,5.56
14086,Ca0.9Pr0.1Fe1.3As1.8O0.2,20.0
14087,Re3V1,6.26
14089,Cu0.03Ir1Te2,2.53
14090,Cd0.18Pb0.32Sn0.5,7.5
14093,Mo6Se7.85S0.15,6.3
14094,Pr1.87Ce0.13Cu1O4,9.4
14095,Bi4Te3,3.5
14096,Y1Re0.1Ba2Cu2.9O7.08,90.0
14097,Pb0.35Sn0.53In0.12Te1,3.5
14098,Ba1Fe1.784Co0.216As2,14.6
14100,Er0.7Ca0.15Hf0.15Ba2Cu3O6.821,77.3
14101,Y2C2Br0.5I1.5,11.6
14102,Y1Ba2Cu2.92Fe0.08O7,86.2
14103,Y1Pd2Sn1,4.993333333
14105,Nb3Al0.956Si0.044,18.5
14107,Y0.985Ca0.015Ba2Cu3O6.98,89.9
14109,In31.5Sb68.5,3.7
14111,Ba0.7K0.3Fe2As2,36.85
14112,U1Ni1.98Al3,1.13
14115,Bi2Sr2Ca1Cu2O8.195,91.0
14116,V75Si20Ge5,12.15
14117,La1.9Sr0.1Cu1O4.018,40.0
14118,Bi1Pb1Sr0.12Pr0.12Cu1O6,11.0
14119,In0.82Mg0.18,3.67
14120,Y1Ba1.8La0.2Cu3O6.8,47.2
14121,Er1Ni1.955Co0.09B2C1,2.6
14123,Cu0.5P0.5Sr2Ca1.9Y0.1Cu3O9.4,84.0
14124,Y2C2Br2,5.03
14125,Pb1Tl0.17,6.73
14126,Mo0.8V0.2C1,12.8
14127,Ge1P1,4.2
14128,Th1.2Lu0.8C3,11.6
14130,Ta0.05V2Zr0.95,8.9
14131,Ca0.78La0.22Fe1As2,21.9
14132,Ir0.05Nb3Rh0.95,2.38
14133,La1.913Sr0.087Cu1O4,25.0
14134,La1.7Sr0.3Cu0.9Mn0.1O4,37.0
14135,V2.7Zr0.3Si1,13.2
14137,La1Ca1Ba1Cu3O7,69.0
14138,La1.59Na0.41Cu1O4,18.0
14139,Hf1V2H1,4.87
14140,Nd1Ba2Cu3O6.75,52.8
14141,Mo0.04Ti0.96,2.0
14145,Y0.9Pr0.1Ba2Cu3O6.75,52.2
14146,Bi0.15Nb3Sn0.85,18.23
14147,La1Fe0.99925Mn0.00075As1F0.11O0.89,15.35
14149,Ho0.5Pr0.5Ba2Cu3O6.67,24.3
14150,La1.64Nd0.2Ba0.16Cu1O4,12.0
14151,Sc0.75Th0.25Rh4B4,8.74
14152,Bi1.8Pb0.2Sr1.4La0.6Cu1OY,28.3
14154,Y0.87Pr0.13Ba2Cu3O7,78.35
14155,Ti45Nb40Si12B3,5.4
14156,Ge1.83La1,2.17
14158,Mo6Se7Cl1,6.52
14159,La1.788Sr0.213Cu1O4,23.0
14160,Y0.9Ba0.1Cu1O4,81.0
14162,Y0.55Pr0.45Ba2Cu3O7.01,29.2
14163,Y1Ba2Cu2.925Zn0.075O6.94,65.0
14165,La0.9Ce0.1Ru4P12,4.8
14166,Co1Zr2,5.3528571430000005
14167,La1.897Ba0.103Cu1O4,14.5
14168,Hg0.698Tl0.302,3.888
14169,Os0.55V0.45,5.04
14170,Cu0.5P0.5Sr2Ca2Cu3O9.25,82.0
14171,V2Hf0.9Ta0.1,9.82
14172,Fe2As2Ca5Mg1Ti3O9.5,36.0
14177,Hg0.5Fe0.5Sr2Y0.5Ca0.5Cu2O6.68,66.5
14178,Zr1P1.35Se0.65,6.24
14179,Gd1.2Ba1.8Cu3O7.03,42.0
14181,La1.85Sr0.15Cu0.988Co0.012O4,18.6
14182,O1V3Zr3,7.5
14184,Tl1.62Ba2Ca2.3Cu3O9.92,113.0
14185,V0.746Ga0.169Al0.085,11.8
14186,W7Re13C1,7.3
14188,Tl3Cr1Sr8Cu4O20,25.0
14190,Eu1Ba1Sr1Cu3O6.94,80.0
14191,As1Ge1,3.5
14192,Bi2Sr2Ca0.8Y0.2Cu2O8.34,86.0
14194,Y1Ba2Cu2.919Zn0.081O6.7,17.0
14195,B2Mg0.8,38.0
14197,Ca1Fe1.9Co0.1As2,17.7
14198,La1.8Sr0.15Na0.05Cu1O4,37.0
14199,V2.778La0.222Ga1,7.8
14200,Hf1Zr1C1,1.68
14201,La0.995Y0.005Fe0.995Mn0.005As1F0.11O0.89,2.89
14202,Bi4Sr3Ca3Cu4OY,75.6
14203,Y1Ba2Cu3F1.26O6,55.0
14204,Ba2Ca2Cu3F1.6O6.4,102.0
14207,O3Tl0.03W1,2.07
14208,V2.898Mn0.102Ga1,9.0
14209,Y0.65Ca0.35Sr2Cu2Ga1O6.99,27.0
14211,Sr0.67K0.33Fe2As2,21.7
14212,Y0.8Ca0.2Ba2Cu3O6.6,72.1
14213,Nd1Bi1S2F0.9O0.62,5.44
14214,Nd1.75Sm0.1Ce0.15Cu1O3.972,22.2
14215,B12Zr1,5.9771428570000005
14216,La1.8Ca1.032Sr0.168Cu2O6.08,15.0
14217,La3Ir4Sn13,2.55
14218,Nb2.96Al0.7592Ge0.3224,19.8
14219,Ce1Co0.5Ru0.5In5,1.77
14220,Sm1Fe1As1O0.7,52.1
14221,Nb50.35Zr44.45Mo5.2,9.9
14223,Gd1Sr0.1Ba1.9Cu4O8,73.5
14226,Ca8.55La1.45Pt3Fe10As18,26.1
14227,Sr1Fe1.76Co0.24As2,13.5
14230,V2.4Mo0.6Si1,4.54
14231,Mo0.95Hf0.05C1,12.7
14232,Ca1Fe1.8Co0.2As2,17.1
14233,Nb0.8Ga0.16Cr0.04,10.6
14234,Ir0.5Pt0.5Te2,3.0
14235,Pb1.14Nb1S3.14,2.72
14236,Te1Y1,1.535
14237,Pr1.295Gd0.555Ce0.15Cu1O4,13.5
14238,La0.99Tb0.01,2.53
14239,Cr0.38Re0.62,4.1
14240,La1Fe0.9Zn0.1As1F0.1O0.9,19.9
14241,Au0.5Ge0.5,3.6
14242,Sb0.02Sn0.98,2.64
14243,Tl0.3W1O3,2.0
14245,Ca10Pt4.8Fe9.2As18,13.7
14246,Y1Rh4Si2B1,9.0
14248,Y1Ba1Sr1Cu3O6.88,75.6
14249,Sc0.6V0.4,6.84
14252,Se1Y1,3.25
14253,Ce1Bi1S2F0.7O0.35,4.0
14254,Ti55Nb30Si12B3,5.0
14255,Y1Ir2Rh2B4,8.92
14256,La1.69Sr0.31Cu0.92Ti0.08O4,30.0
14257,La2Cu1O4.032,30.0
14258,Ti0.7V0.3,6.463333333
14260,Sb2Zr3,1.74
14261,BaKBi1O3,30.675
14262,Cu0.5S0.5Sr2Ca2Cu3O12,100.0
14264,Au0.1Sb0.8Te0.1,6.0
14266,Ca1La1Ba1Cu2.94Fe0.06O7,44.0
14267,La2.5Y0.5Ca1Ba3Cu6.72Fe0.28O16.592,70.0
14268,Mg1C1Ni2.91Cu0.09,6.0
14269,La1.943Sr0.076Cu1O4,16.5
14270,Nb10V50Ti40,7.1
14271,Ba2Ca3Cu4F1.2O8.8,103.5
14273,Rh0.08Zr0.92,7.85
14274,Gd1Ba2Cu3O6.758,92.0
14275,Y1Ba1.89La0.11Cu3O6.96,93.6
14276,B1Ta0.5W1.5,1.94
14278,Ru0.1Ti0.9,3.5
14280,Ba8Si40Al6,5.6
14282,Nb25Ti50Mo25,4.3
14283,La2.5Y0.5Ca1Ba3Cu7O16.552,80.0
14284,V2Hf0.87Ta0.13,10.45
14285,Y1Ba2Cu2.95Zn0.05O6.75,48.0
14286,Pr1Fe1As0.6P0.4F0.1O0.9,23.4
14287,Ti0.64Nb0.32Ta0.04,8.9
14289,Pd45.9Ni5.1Sb49,1.23
14292,Nb0.5Zr0.5,10.122
14295,Pb0.8Sr1Ba1.2Y0.7Ca0.3Cu3O7.59,40.0
14296,La0.75Y0.25Ni1C2,1.65
14297,Y0.8Ca0.2Ba1.4La0.6Cu3O7.15,66.0
14298,Sr1Pd1.9Pt0.1Ge2,2.89
14299,Tb1Fe1As1O0.75,34.8
14302,Nb0.8W0.2,4.68
14304,Rh0.04Ru0.05Ti0.91,3.5
14306,Nb0.31Ta0.06Ti0.62,9.0
14307,Ca2.8Co0.2Rh4Sn13,7.73
14308,Zr33.3V39.3Nb27.4,5.45
14310,La1.82Ba0.18Cu0.99Zn0.01O4,13.9
14311,Ba1Fe1.74Zn0.04Co0.22As2,15.82
14312,La0.7Pr0.3Ca1Ba1Cu3O7,40.0
14313,Tl0.5Pb0.5Sr2Ca0.65Y0.35Cu2O7,92.0
14314,Y1Ba2Cu3H0.19O7,93.5
14316,Sr1Pd2Si0.1Ge1.9,2.7
14317,Y1Ba2Cu2.76Ni0.24O7,71.5
14318,Nb0.025Ti0.975,1.5
14319,La1.87Ba0.13Cu0.99Ga0.01O4,4.5
14321,La3Ca0.6Cd0.4Ba3Cu7O16.41,67.5
14325,Ce1Bi3Pb1Te6,2.7
14326,Sn0.6Ag0.4Te1,1.95
14328,Ir0.75Rh0.2Te2,4.33
14329,Nb3Al0.98Se0.02,18.4
14330,La3Rh4Sn13,3.1
14331,Eu0.56K0.44Fe2As2,28.7
14333,La1.7575Pr0.0925Sr0.15Cu1O4,37.0
14334,Mg0.75Li0.25B2,33.7
14335,Ho0.8Dy0.2Ni2B2C1,6.61
14336,Cs1I1,2.0
14337,Nb3Al0.924Se0.076,17.6
14338,Co0.02Cu0.98Rh2Si4,3.8
14342,Fe1.02Te0.5Se0.3S0.2,11.64
14343,La1.94Sr0.06Cu1O3.995,6.5
14344,Rh0.005Zr1,5.8
14346,Re0.35W0.65,6.75
14347,Mo0.84Hf0.16C1,11.5
14348,B1Sr2Ca2Cu3O9,75.0
14350,Dy1Ba2Cu2.96Ni0.04O6.73,82.0
14351,Y1.8Sn0.2C2.7,10.2
14352,Cs1Pb0.3Bi3.7Te6,2.9
14355,Cs0.1Li0.02W1O2.88F0.12,4.0
14356,Rh0.12Zr0.88,11.0
14357,Ge1Ta3,8.0
14358,Y0.5Pr0.5Ba2Cu3O6.71,4.0
14359,La1.81Ca0.19Cu1O4,32.0
14360,Sr0.81Eu0.19Fe1.76Co0.24As2,12.0
14361,Y0.95Ca0.05Ba2Cu2.95Co0.05O6.96,88.0
14362,Sr1.6Ba0.4Cu1F2O2,60.0
14363,Pb0.73Tl0.27,6.43
14364,Sm1Ba2Cu2.94Zn0.06O6.85,59.0
14365,V75Si12.5Ge12.5,8.58
14366,Y1Re0.15Ba2Cu2.85O7.17,91.0
14369,La1.85Sr0.15Cu0.993Fe0.007O4,26.25
14370,Dy0.5Pr0.5Ba2Cu3O6.9,27.8
14371,Bi1.4Pb0.6Sr2Ca1Ga1Cu3O7,66.5
14372,La1.85Sr0.15Cu0.9875Zn0.0125O4,22.3
14374,La1.85Sr0.15Cu0.97Ni0.03O4,13.975
14379,La1.85Sr0.15Cu1O4.01,36.0
14380,La1.85Sr0.15Cu0.975Zn0.025O4,7.3
14381,La1.75Nd0.125Sr0.125Cu1O4,17.5
14382,Th1Ir1.6Os0.4,5.15
14384,Sr1Fe1.7Co0.3As2,13.2
14385,La2.5Y0.5Ca1Ba3Cu6.16Fe0.84O16.634,41.0
14386,Pr0.75Ce0.25Pt4Ge12,1.015
14388,Bi1.6Pb0.4Sr1.6La0.4Cu1O6.082,23.0
14389,Sr0.9La0.1Cu0.99Zn0.01O2,42.0
14390,Sr1Fe2As1.3P0.7,28.475
14392,Pb0.985Tl0.005Na0.01Te1,1.38
14393,Fe2As2Sr4Mg1Ti1O6,6.0
14394,P0.3Si0.7V3,14.75
14396,Zr1Pd2Al1,3.4
14397,Bi2Sr2Ca1.2Cu3.22O8,70.0
14399,Sr1Ga1.2Si0.8,4.75
14400,C1.58La1,9.6
14402,Ge0.23V0.77,6.4
14405,Ba1Fe1.884Co0.116As2,22.93333333
14406,Ca5.84Sr4.02Bi0.14Cu15.84O29,72.0
14407,Nd1Ba2Cu3O6.85,67.4
14408,Bi2Sr2Ca1Cu2O8.216,78.0
14409,Tl0.5Pb0.5Sr2Ca0.9Y0.1Cu2O7,99.3
14411,Sr1Fe2As0.8P1.2,3.13
14412,Nb3Se4,1.9425
14413,Sc4Os6Sn19,1.5
14414,La1.84Sr0.16Cu0.987Ni0.013O4,25.0
14416,Y0.8Pr0.2Ba2Cu3O8.06,65.8
14417,La0.55Ca0.15Pr0.3Ba1.5Sr0.5Cu3O6.851,27.0
14418,La2.5Y0.5Ca1Ba3Cu6.44Fe0.56O16.617,58.0
14419,Tm1.83Ca0.17Cu1O4,30.0
14421,La1.78Sr0.22Cu0.92Ni0.08O4,21.0
14422,Ba0.63K0.37Bi1O3,29.58571429
14424,La1.85Sr0.15Cu0.95Ni0.05O4,2.1
14425,Dy1Ni1.995Co0.01B2C1,4.1
14427,V0.5Sr2.3Ca4.7Cu6.5O15.5,75.0
14428,Y1Ba2Cu3.96Mn0.04O8,62.8
14430,Ba1.7K0.3Pb0.9Bi0.1O4,11.0
14431,Pb0.5Cu0.5Sr1La1Cu1O5.15,28.0
14433,Bi2Ca2.5Nd0.5Cu2O8.43,33.5
14434,Ca1Fe0.74Co0.26As1H1,8.95
14435,Nb3Sn0.81Ge0.19,14.3
14436,Re0.67Y0.33,1.83
14438,Ti0.66Zr0.33,1.36
14439,Y1Ba2Cu2.95Co0.05O6.92,94.3
14443,Lu5Ir3.12Rh0.88Si10,5.74
14446,Bi2Sr2Ca1Cu2O8.196,85.0
14447,Y0.65Pr0.35Ba2Cu3O6.95,33.0
14448,Hf0.93Mo0.07,2.11
14449,Bi4S3O4,4.846
14450,Ba1Ti2Sb0.4Bi1.6O1,4.52
14452,Hg1.4Tl0.6Ba2Y0.7Ca0.3Cu2O7.81,74.5
14453,Al0.5Ge0.5Nb1,12.6
14454,Fe1.02Se1,6.0
14455,Y3Ru4Ge13,2.116666667
14457,La0.55Pr1.3Sr0.15Cu1O4,29.6
14458,Y4Rh6Sn19,3.2
14459,Nd1Fe0.85Ru0.15As1F0.11O0.89,34.0
14460,Pb0.9848Tl0.0152,7.135
14461,La0.6Y0.4Fe1As1O0.6,38.8
14462,Pb0.19Sn0.76In0.05Te1,2.76
14465,Sr2Nd0.3Ca0.7Cu2F1O5,73.1
14466,Mg0.815Al0.185B2,25.3
14467,Nb0.15V0.85,4.3
14468,Bi2Te3,3.7325
14469,Ca0.9Ce0.1Ba1La1Cu3O7.02,60.5
14470,Nb0.31Re0.69,4.92
14471,Sr0.6Ca0.333Cu1O2.15,82.0
14472,La2.85Ca0.3Ba2.85Cu6O14.252,22.0
14473,La1.75Sr0.15Na0.1Cu1O4,37.0
14475,Bi2Sr2Ca0.5Y0.5Cu2O8.36,18.0
14476,Bi2Sr1.6La0.4Cu1O6.35,20.0
14477,Bi1Pb1Sr2Ca2Cu3O10,103.5
14479,Nb0.6Os0.4,1.84
14481,K0.26Zr1N1Cl1,11.5
14482,Mg1C1Ni2.7Ru0.3,2.8
14483,Tl1Ba0.6Sr0.4La1Cu1O5.16,22.0
14485,Hf1V2,8.984
14486,Cu1.5Co1.5S4,2.8
14487,Cs1Fe2As2,2.08
14488,Y1Ba2Cu2.97Ni0.03O6.94,88.5
14489,La1Fe0.9975Mn0.0025As1F0.11O0.89,10.1
14491,La1.935Ca0.065Cu1O4,5.55
14493,Bi0.15Nb3Sn0.7Tl0.15,18.12
14494,Mg1Pt0.5Au0.5Si1,2.9
14495,Os0.05Rh0.04Ti0.91,3.5
14496,Na0.75Co0.995Ir0.005H2.6O3.3,3.94
14498,La1Ba2Cu2.9O6.8,45.0
14500,Na1Fe0.975Ni0.025As1,15.4
14506,Nd1.2Ba1.8Cu3O7.1,43.5
14508,Tm0.8Pr0.2Ba2Cu3O6.95,77.9
14509,Er0.11Ho0.89Rh4B4,5.8833333329999995
14510,Sn0.72Eu0.4Mo6.35S8,10.1
14511,Pb0.5Ca1Sr2Y0.5Cu2O6.97,55.0
14512,Ba1Fe1.894Co0.042Cu0.064As2,9.6
14513,Y1Ba2Cu2.95Zn0.05O6.47,18.0
14517,Nb0.33Ti0.67,9.3
